T,P,vf,vg,hfg,cp_f,cp_g,mu_f,mu_g,kf,kg,Prf,Pfg,sigf,betaf
273.15,0.00611,0.001,206.3,2502,4.217,1.854,0.00175,0.00000802,0.569,0.0182,12.99,0.815,0.0755,-0.00006805
275,0.00697,0.001,181.7,2497,4.211,1.855,0.001652,0.00000809,0.574,0.0183,12.22,0.817,0.0753,-0.00003274
280,0.0099,0.001,130.4,2485,4.198,1.858,0.001422,0.00000829,0.582,0.0186,10.26,0.825,0.0748,0.00004604
285,0.01387,0.001,99.4,2473,4.189,1.861,0.001225,0.00000849,0.59,0.0189,8.81,0.833,0.0743,0.0001141
290,0.01917,0.001001,69.7,2461,4.184,1.864,0.00108,0.00000869,0.598,0.0193,7.56,0.841,0.0737,0.000174
295,0.02617,0.001002,51.94,2449,4.181,1.868,0.000959,0.00000889,0.606,0.0195,6.62,0.849,0.0727,0.0002275
300,0.03531,0.001003,39.13,2438,4.179,1.872,0.000855,0.00000909,0.613,0.0196,5.83,0.857,0.0717,0.0002761
305,0.04712,0.001005,29.74,2426,4.178,1.877,0.000769,0.00000929,0.62,0.0201,5.2,0.865,0.0709,0.0003206
310,0.06221,0.001007,22.93,2414,4.178,1.882,0.000695,0.00000949,0.628,0.0204,4.62,0.873,0.07,0.0003619
315,0.08132,0.001009,17.82,2402,4.179,1.888,0.000631,0.00000969,0.634,0.0207,4.16,0.883,0.0692,0.0004004
320,0.1053,0.001011,13.98,2390,4.18,1.895,0.000577,0.00000989,0.64,0.021,3.77,0.894,0.0683,0.0004367
325,0.1351,0.001013,11.06,2378,4.182,1.903,0.000528,0.00001009,0.645,0.0213,3.42,0.901,0.0675,0.0004712
330,0.1719,0.001016,8.82,2366,4.184,1.911,0.000489,0.00001029,0.65,0.0217,3.15,0.908,0.0666,0.000504
335,0.2167,0.001018,7.09,2354,4.186,1.92,0.000453,0.00001049,0.656,0.022,2.88,0.916,0.0658,0.0005355
340,0.2713,0.001021,5.74,2342,4.188,1.93,0.00042,0.00001069,0.66,0.0223,2.66,0.925,0.0649,0.000566
345,0.3372,0.001024,4.683,2329,4.191,1.941,0.000389,0.00001089,0.664,0.0226,2.45,0.933,0.0641,0.0005954
350,0.4163,0.001027,3.846,2317,4.195,1.954,0.000365,0.00001109,0.668,0.023,2.29,0.942,0.0632,0.0006242
355,0.51,0.00103,3.18,2304,4.199,1.968,0.000343,0.00001129,0.671,0.0233,2.14,0.951,0.0623,0.0006523
360,0.6209,0.001034,2.645,2291,4.203,1.983,0.000324,0.00001149,0.674,0.0237,2.02,0.96,0.0614,0.0006979
365,0.7514,0.001038,2.212,2278,4.209,1.999,0.000306,0.00001169,0.677,0.0241,1.91,0.969,0.0605,0.0007071
370,0.904,0.001041,1.861,2265,4.214,2.017,0.000289,0.00001189,0.679,0.0245,1.8,0.978,0.0595,0.0007287
373.15,1.0133,0.001044,1.679,2257,4.217,2.029,0.000279,0.00001202,0.68,0.0248,1.76,0.984,0.0589,0.0007501
375,1.0815,0.001045,1.574,2252,4.22,2.036,0.000274,0.00001209,0.681,0.0249,1.7,0.987,0.0586,0.000761
380,1.2869,0.001049,1.337,2239,4.226,2.057,0.00026,0.00001229,0.683,0.0254,1.61,0.999,0.0576,0.000788
385,1.5233,0.001053,1.142,2225,4.232,2.08,0.000248,0.00001249,0.685,0.0258,1.53,1.004,0.0566,0.000814
390,1.794,0.001058,0.98,2212,4.239,2.104,0.000237,0.00001269,0.686,0.0263,1.47,1.013,0.0556,0.000841
400,2.455,0.001067,0.731,2183,4.256,2.158,0.000217,0.00001305,0.688,0.0272,1.34,1.033,0.0536,0.000896
410,3.302,0.001077,0.553,2153,4.278,2.221,0.0002,0.00001342,0.688,0.0282,1.24,1.054,0.0515,0.000952
420,4.37,0.001088,0.425,2123,4.302,2.291,0.000185,0.00001379,0.688,0.0298,1.16,1.075,0.0494,0.00101
430,5.699,0.001099,0.331,2091,4.331,2.369,0.000173,0.00001414,0.685,0.0304,1.09,1.1,0.0472,0